   prop.aneu prob.meio   prob.mito dispersal euploid mosaic aneuploid
1  0.5141016 0.3854572 0.021673670       0.5    0.28   0.30      0.42
2  0.3367188 0.2832125 0.009587477       0.5    0.59   0.12      0.29
3  0.5139063 0.3681613 0.006846435       0.5    0.41   0.10      0.49
4  0.5264453 0.4351547 0.021127729       0.5    0.31   0.25      0.44
5  0.5501172 0.4632394 0.004668312       0.5    0.39   0.08      0.53
6  0.4828906 0.4147260 0.019593361       0.5    0.36   0.26      0.38
7  0.5032422 0.4783211 0.018061689       0.5    0.28   0.30      0.42
8  0.3113672 0.3337494 0.007397691       0.5    0.58   0.15      0.27
9  0.6508594 0.6260471 0.008157203       0.5    0.30   0.08      0.62
10 0.6283594 0.5361624 0.026254883       0.5    0.20   0.26      0.54
