   prop.aneu prob.meio   prob.mito dispersal euploid mosaic aneuploid
1  0.5198828 0.5052095 0.009460827       0.5    0.43   0.09      0.48
2  0.6026563 0.6590820 0.016212780       0.5    0.29   0.15      0.56
3  0.5409375 0.5027607 0.018412678       0.5    0.34   0.19      0.47
4  0.5103125 0.4299405 0.023449858       0.5    0.27   0.31      0.42
5  0.5077344 0.4078121 0.030524907       0.5    0.26   0.37      0.37
6  0.4849609 0.3468918 0.009290966       0.5    0.45   0.12      0.43
7  0.4075781 0.2127943 0.031490969       0.5    0.42   0.33      0.25
8  0.3985156 0.4232281 0.017422158       0.5    0.44   0.24      0.32
9  0.7045703 0.6883321 0.014397527       0.5    0.23   0.11      0.66
10 0.4367969 0.3316341 0.019849919       0.5    0.40   0.26      0.34
