   prop.aneu prob.meio   prob.mito dispersal euploid mosaic aneuploid
1  0.4048438 0.2911370 0.021843857         1    0.35   0.36      0.29
2  0.5810156 0.5215621 0.026236193         1    0.20   0.32      0.48
3  0.3880469 0.2980443 0.016341910         1    0.41   0.28      0.31
4  0.4671484 0.4742376 0.009788739         1    0.43   0.14      0.43
5  0.5928906 0.4580493 0.023002109         1    0.18   0.30      0.52
6  0.6399219 0.6291457 0.017862052         1    0.25   0.15      0.60
7  0.3787891 0.3179929 0.004501140         1    0.58   0.06      0.36
8  0.4353906 0.4193779 0.012990266         1    0.44   0.17      0.39
9  0.6032812 0.4615802 0.024765169         1    0.22   0.25      0.53
10 0.4259375 0.3668875 0.006107452         1    0.45   0.16      0.39
