   prop.aneu prob.meio   prob.mito dispersal euploid mosaic aneuploid
1  0.6444922 0.4940371 0.027231935 0.3190441    0.23   0.21      0.56
2  0.5658203 0.3649614 0.047362478 0.1700985    0.24   0.36      0.40
3  0.6202734 0.4534601 0.026078211 0.8899940    0.20   0.27      0.53
4  0.3767187 0.3652817 0.008079634 0.5780836    0.55   0.11      0.34
5  0.5133203 0.3509379 0.021174737 0.6590369    0.32   0.26      0.42
6  0.4120703 0.4517272 0.003977639 0.1069182    0.55   0.06      0.39
7  0.5533984 0.5753268 0.014886605 0.8423986    0.28   0.22      0.50
8  0.4833203 0.3962971 0.012352723 0.6089358    0.39   0.17      0.44
9  0.4882812 0.3729207 0.028969932 0.1780348    0.34   0.31      0.35
10 0.5986719 0.5742912 0.027891512 0.4193468    0.20   0.29      0.51
