   prop.aneu prob.meio   prob.mito  dispersal euploid mosaic aneuploid
1  0.6328125 0.4108449 0.052589020 0.05862124    0.19   0.35      0.46
2  0.4512500 0.3776704 0.008454525 0.72625232    0.41   0.18      0.41
3  0.5128906 0.5299447 0.002538405 0.02073900    0.47   0.03      0.50
4  0.6630469 0.5197424 0.052165786 0.12307237    0.18   0.31      0.51
5  0.6392969 0.4387189 0.054057008 0.27894240    0.20   0.35      0.45
6  0.4150391 0.3559347 0.013614511 0.17698553    0.47   0.18      0.35
7  0.5800391 0.5065299 0.006214631 0.96502731    0.35   0.09      0.56
8  0.4555078 0.4111067 0.026364076 0.43891696    0.34   0.32      0.34
9  0.3248828 0.2766538 0.004535895 0.59616359    0.61   0.09      0.30
10 0.4880469 0.4402315 0.012760660 0.83176877    0.39   0.17      0.44
