   prop.aneu prob.meio   prob.mito  dispersal euploid mosaic aneuploid
1  0.6843750 0.3302420 0.074831759 0.10676403    0.17   0.36      0.47
2  0.5647266 0.4961020 0.022642436 0.03051057    0.36   0.13      0.51
3  0.6353516 0.5228441 0.015729524 0.47653879    0.24   0.18      0.58
4  0.6789063 0.3932773 0.067326584 0.02432894    0.21   0.34      0.45
5  0.4997656 0.5086264 0.012630525 0.57341390    0.40   0.15      0.45
6  0.3609375 0.3008681 0.008750187 0.95943862    0.51   0.17      0.32
7  0.4830469 0.4236789 0.011412655 0.05054696    0.43   0.12      0.45
8  0.6673047 0.5989743 0.039068363 0.19308020    0.16   0.28      0.56
9  0.6799609 0.4963336 0.029838672 0.44962560    0.17   0.25      0.58
10 0.5901563 0.5271939 0.023185416 0.01956935    0.35   0.15      0.50
