   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.6669531 0.3604619 0.08023571    0.28   0.28      0.44
2  0.4953906 0.3974012 0.02920215    0.43   0.17      0.40
3  0.5159375 0.4467892 0.02543538    0.42   0.18      0.40
4  0.5352734 0.3641277 0.02441541    0.40   0.17      0.43
5  0.4865625 0.3148134 0.03658781    0.43   0.22      0.35
6  0.5312891 0.2892680 0.03778652    0.40   0.16      0.44
7  0.6307812 0.5461059 0.03876812    0.30   0.19      0.51
8  0.5430469 0.4010838 0.03603434    0.32   0.27      0.41
9  0.5031641 0.4666168 0.01620416    0.46   0.08      0.46
10 0.6750000 0.4344026 0.05647600    0.24   0.22      0.54
