   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.6806250 0.4441894 0.07364088    0.30   0.22      0.48
2  0.5414453 0.2129864 0.06894774    0.33   0.33      0.34
3  0.6142578 0.4309735 0.05607195    0.25   0.28      0.47
4  0.4982031 0.4595866 0.01088701    0.44   0.09      0.47
5  0.4859766 0.2412009 0.04763285    0.34   0.31      0.35
6  0.4297656 0.2991481 0.02189688    0.48   0.16      0.36
7  0.6250000 0.3571929 0.06576299    0.28   0.28      0.44
8  0.4071484 0.2580054 0.02180909    0.48   0.22      0.30
9  0.6143359 0.5225556 0.03710314    0.31   0.18      0.51
10 0.6164063 0.5725585 0.02019144    0.30   0.15      0.55
