   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.6443750 0.3650603 0.05953568    0.28   0.22      0.50
2  0.5498047 0.5081769 0.02179238    0.37   0.15      0.48
3  0.4898438 0.3664991 0.02159279    0.45   0.13      0.42
4  0.6228906 0.4522056 0.05380503    0.29   0.20      0.51
5  0.5837891 0.5526892 0.02734665    0.39   0.11      0.50
6  0.4535938 0.3965001 0.02071648    0.44   0.19      0.37
7  0.6409375 0.4033590 0.05504419    0.30   0.22      0.48
8  0.6532422 0.4376810 0.05144619    0.31   0.20      0.49
9  0.6003516 0.4419686 0.05124542    0.29   0.28      0.43
10 0.6190625 0.4768610 0.03947291    0.28   0.20      0.52
