   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.4766797 0.3273836 0.01929761    0.43   0.15      0.42
2  0.5548437 0.3319598 0.05068485    0.29   0.31      0.40
3  0.4825391 0.3189805 0.03310062    0.45   0.17      0.38
4  0.5492187 0.3476112 0.03914480    0.33   0.24      0.43
5  0.5899219 0.2813823 0.07062890    0.24   0.27      0.49
6  0.6475781 0.4468173 0.05724360    0.21   0.30      0.49
7  0.5089063 0.3387959 0.02503733    0.43   0.17      0.40
8  0.5259766 0.4865236 0.02350186    0.38   0.18      0.44
9  0.6243359 0.4167010 0.05378781    0.33   0.23      0.44
10 0.6364062 0.4984905 0.04140634    0.26   0.22      0.52
