   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.5553906 0.2066846 0.05819142    0.34   0.27      0.39
2  0.6320703 0.4835883 0.05893323    0.32   0.20      0.48
3  0.5965625 0.2920508 0.06754622    0.29   0.30      0.41
4  0.4130469 0.3324271 0.02592485    0.51   0.18      0.31
5  0.5135156 0.3454918 0.02797167    0.41   0.14      0.45
6  0.6318359 0.3847061 0.05833284    0.26   0.29      0.45
7  0.6398828 0.4492411 0.05636264    0.22   0.28      0.50
8  0.5838672 0.4112026 0.05274770    0.29   0.23      0.48
9  0.6380469 0.4774754 0.04242830    0.28   0.19      0.53
10 0.4688281 0.4254808 0.01798130    0.40   0.19      0.41
