   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.5918359 0.2423149 0.07488852    0.27   0.31      0.42
2  0.5829688 0.4992849 0.01981913    0.32   0.15      0.53
3  0.6471094 0.5068496 0.03852188    0.28   0.19      0.53
4  0.6276953 0.5157693 0.04217748    0.29   0.16      0.55
5  0.6251953 0.5001915 0.04757887    0.23   0.24      0.53
6  0.6627344 0.2775022 0.08685262    0.24   0.30      0.46
7  0.6673047 0.3066163 0.08412769    0.31   0.25      0.44
8  0.5291016 0.5331327 0.01327966    0.34   0.18      0.48
9  0.5218359 0.2807839 0.05799436    0.32   0.30      0.38
10 0.5629688 0.3046725 0.06002576    0.35   0.29      0.36
