   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.5783984 0.2553155 0.05935575    0.34   0.29      0.37
2  0.6169922 0.5312856 0.04054913    0.28   0.18      0.54
3  0.5124609 0.3186412 0.03875112    0.41   0.23      0.36
4  0.6637891 0.3057071 0.08448380    0.32   0.18      0.50
5  0.6860156 0.3391419 0.08487342    0.26   0.25      0.49
6  0.6245703 0.3686269 0.04964877    0.31   0.19      0.50
7  0.5826953 0.5576215 0.02578708    0.33   0.15      0.52
8  0.5630859 0.6110844 0.01258255    0.39   0.06      0.55
9  0.5855859 0.3606549 0.05383250    0.27   0.29      0.44
10 0.5808594 0.3885559 0.05315899    0.26   0.29      0.45
