   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.6345312 0.3436217 0.07486177    0.26   0.27      0.47
2  0.5044141 0.4598955 0.01123105    0.44   0.09      0.47
3  0.5330078 0.4588460 0.02496363    0.35   0.19      0.46
4  0.5831641 0.4751174 0.04836662    0.28   0.23      0.49
5  0.4110937 0.2869812 0.01275604    0.54   0.12      0.34
6  0.5263672 0.3606966 0.04199920    0.36   0.28      0.36
7  0.5283594 0.3571727 0.02484044    0.40   0.16      0.44
8  0.5752734 0.3695729 0.04352509    0.33   0.22      0.45
9  0.6326953 0.3256152 0.06928935    0.28   0.30      0.42
10 0.6021875 0.4793631 0.03568848    0.32   0.14      0.54
