   prop.aneu prob.meio   prob.mito euploid mosaic aneuploid
1  0.5369922 0.6009548 0.007526164    0.39   0.11      0.50
2  0.5944531 0.4362365 0.041186047    0.32   0.19      0.49
3  0.4177734 0.3711419 0.011722639    0.52   0.11      0.37
4  0.6875391 0.4522746 0.061606719    0.22   0.24      0.54
5  0.5608203 0.2668958 0.049776469    0.30   0.27      0.43
6  0.4349609 0.4210397 0.017661787    0.45   0.15      0.40
7  0.5348828 0.5001196 0.010178305    0.41   0.09      0.50
8  0.6117969 0.4337440 0.049539182    0.28   0.26      0.46
9  0.5486328 0.3101978 0.045006317    0.34   0.26      0.40
10 0.4268750 0.2891427 0.032254443    0.44   0.24      0.32
