   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.5723438 0.3145243 0.05869632    0.29   0.28      0.43
2  0.4132812 0.2931133 0.02638526    0.46   0.22      0.32
3  0.4721484 0.3335980 0.03320800    0.38   0.25      0.37
4  0.6428125 0.5767902 0.04935172    0.27   0.20      0.53
5  0.5990234 0.3385089 0.05677078    0.31   0.26      0.43
6  0.5371875 0.4600151 0.02982195    0.43   0.11      0.46
7  0.5996484 0.4687160 0.04493365    0.28   0.22      0.50
8  0.6143359 0.4179631 0.02983161    0.27   0.21      0.52
9  0.6101172 0.3199154 0.06517257    0.29   0.28      0.43
10 0.6885938 0.4131611 0.10074229    0.26   0.25      0.49
