   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.5009766 0.3635608 0.02899095    0.43   0.18      0.39
2  0.5245313 0.2968531 0.03015167    0.43   0.18      0.39
3  0.4141406 0.2910078 0.01194284    0.49   0.14      0.37
4  0.5908203 0.3834027 0.05985153    0.32   0.26      0.42
5  0.5089453 0.3495222 0.03114290    0.42   0.19      0.39
6  0.6241797 0.5765647 0.02420274    0.34   0.10      0.56
7  0.6535156 0.4805619 0.06104786    0.26   0.26      0.48
8  0.6475391 0.4322829 0.05783246    0.30   0.21      0.49
9  0.5810156 0.2457118 0.05847387    0.34   0.29      0.37
10 0.4893750 0.3152482 0.01727275    0.49   0.11      0.40
