   prop.aneu prob.meio   prob.mito euploid mosaic aneuploid
1  0.5997656 0.4246218 0.035819894    0.34   0.18      0.48
2  0.5909766 0.5673937 0.008965508    0.34   0.09      0.57
3  0.4550000 0.4013568 0.015885379    0.46   0.12      0.42
4  0.6457031 0.3344234 0.063927654    0.27   0.23      0.50
5  0.6014844 0.3595640 0.053204304    0.29   0.26      0.45
6  0.5789453 0.3820672 0.050064155    0.31   0.23      0.46
7  0.5158203 0.4506811 0.008188708    0.37   0.14      0.49
8  0.4409766 0.3873907 0.021485632    0.47   0.19      0.34
9  0.5358203 0.3105928 0.037187936    0.31   0.26      0.43
10 0.5377734 0.4437480 0.004941795    0.43   0.05      0.52
