   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.4382031 0.3164723 0.02562585    0.47   0.19      0.34
2  0.5713672 0.3862976 0.03757024    0.37   0.18      0.45
3  0.5873828 0.4369751 0.03523309    0.32   0.20      0.48
4  0.6720312 0.4872502 0.05855727    0.27   0.21      0.52
5  0.5112109 0.4470689 0.03182812    0.39   0.22      0.39
6  0.4866016 0.2885467 0.03237441    0.45   0.17      0.38
7  0.5718750 0.4795239 0.04096717    0.37   0.18      0.45
8  0.6002344 0.3077570 0.04370246    0.25   0.26      0.49
9  0.4585156 0.3824707 0.01669691    0.47   0.12      0.41
10 0.6173828 0.3696898 0.05657521    0.29   0.28      0.43
