   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.5604687 0.4766157 0.03096174    0.32   0.18      0.50
2  0.5106250 0.3920344 0.02139830    0.45   0.10      0.45
3  0.5429688 0.5365646 0.01067919    0.38   0.11      0.51
4  0.5707813 0.4727352 0.01947307    0.34   0.14      0.52
5  0.7443750 0.4456607 0.07844025    0.20   0.27      0.53
6  0.5837109 0.3730700 0.04404233    0.29   0.27      0.44
7  0.6117969 0.3997606 0.02900065    0.28   0.21      0.51
8  0.5344922 0.3728618 0.03445983    0.31   0.30      0.39
9  0.5933984 0.5066583 0.02672302    0.31   0.16      0.53
10 0.6669531 0.5247508 0.06153559    0.27   0.22      0.51
