   prop.aneu prob.meio   prob.mito euploid mosaic aneuploid
1  0.5690234 0.4752080 0.017122425    0.33   0.16      0.51
2  0.6549609 0.5501626 0.055133851    0.26   0.22      0.52
3  0.6079687 0.5282749 0.027805182    0.26   0.20      0.54
4  0.6352344 0.3973519 0.044901485    0.27   0.18      0.55
5  0.6005859 0.5039721 0.029457846    0.29   0.16      0.55
6  0.3957031 0.2780149 0.023665870    0.48   0.23      0.29
7  0.5875781 0.5439805 0.011952876    0.33   0.13      0.54
8  0.5449609 0.5771915 0.008646221    0.40   0.09      0.51
9  0.6015234 0.4346762 0.044648818    0.27   0.23      0.50
10 0.4254688 0.3083816 0.024669083    0.46   0.21      0.33
