   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.5648828 0.2951660 0.04721687    0.36   0.22      0.42
2  0.5218359 0.4533390 0.01627583    0.43   0.10      0.47
3  0.5498047 0.3994982 0.04200097    0.33   0.25      0.42
4  0.5612500 0.3645992 0.05586140    0.36   0.22      0.42
5  0.4166406 0.2268441 0.02356637    0.49   0.17      0.34
6  0.6254297 0.4337491 0.06261012    0.27   0.27      0.46
7  0.5771875 0.4500562 0.04576930    0.34   0.20      0.46
8  0.5680859 0.5560004 0.02329051    0.36   0.13      0.51
9  0.4736719 0.3060567 0.03079205    0.41   0.19      0.40
10 0.4675000 0.3300262 0.03237526    0.44   0.20      0.36
