   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.4961328 0.4020461 0.02768712    0.41   0.17      0.42
2  0.5005469 0.3421411 0.02189245    0.38   0.18      0.44
3  0.5157812 0.3513319 0.03572199    0.37   0.23      0.40
4  0.5268359 0.2695311 0.04507177    0.37   0.23      0.40
5  0.4580859 0.2940670 0.02187530    0.37   0.24      0.39
6  0.5385156 0.3769936 0.03741280    0.34   0.24      0.42
7  0.4578906 0.3738646 0.02974762    0.44   0.19      0.37
8  0.4721484 0.3337380 0.02469790    0.39   0.20      0.41
9  0.5930859 0.4235513 0.05784803    0.32   0.22      0.46
10 0.4831250 0.4148129 0.01946046    0.40   0.18      0.42
