   prop.aneu prob.meio   prob.mito euploid mosaic aneuploid
1  0.6334375 0.4877006 0.043438495    0.26   0.24      0.50
2  0.5104688 0.2247482 0.053221856    0.40   0.27      0.33
3  0.4641016 0.4274394 0.017401597    0.44   0.15      0.41
4  0.6064063 0.5148954 0.027627078    0.35   0.10      0.55
5  0.5898438 0.4557505 0.035724608    0.33   0.19      0.48
6  0.4166016 0.4620168 0.012797966    0.52   0.11      0.37
7  0.5928516 0.2542884 0.075017062    0.32   0.32      0.36
8  0.6442578 0.3404950 0.044114527    0.26   0.24      0.50
9  0.5370703 0.4687370 0.028975284    0.35   0.18      0.47
10 0.4365234 0.3694266 0.006006445    0.51   0.08      0.41
