   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.6556641 0.4087958 0.07348865    0.24   0.28      0.48
2  0.6230078 0.5735110 0.04000613    0.29   0.18      0.53
3  0.6371484 0.4253635 0.05923529    0.23   0.27      0.50
4  0.5604297 0.2510219 0.04597217    0.30   0.25      0.45
5  0.6112891 0.4596121 0.03556972    0.32   0.17      0.51
6  0.4328125 0.3692867 0.02607137    0.45   0.23      0.32
7  0.4846094 0.4128898 0.02017023    0.41   0.18      0.41
8  0.6589063 0.3878297 0.06328721    0.24   0.25      0.51
9  0.5503125 0.5798478 0.01438027    0.38   0.12      0.50
10 0.5462891 0.4596470 0.01685137    0.39   0.11      0.50
