   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.5425781 0.2668745 0.04454146    0.42   0.19      0.39
2  0.5857422 0.5717004 0.02313592    0.37   0.11      0.52
3  0.5431250 0.4057094 0.06145513    0.36   0.29      0.35
4  0.4685937 0.4663447 0.01124545    0.49   0.08      0.43
5  0.5968750 0.3130914 0.04346480    0.35   0.18      0.47
6  0.5048828 0.3374824 0.04127256    0.39   0.24      0.37
7  0.6271094 0.4207167 0.04443955    0.27   0.21      0.52
8  0.4110156 0.1994400 0.03593203    0.45   0.24      0.31
9  0.6133594 0.5239925 0.04233067    0.33   0.19      0.48
10 0.6405469 0.5000331 0.04173108    0.29   0.17      0.54
