   prop.aneu prob.meio   prob.mito euploid mosaic aneuploid
1  0.6458203 0.3900819 0.062374437    0.28   0.28      0.44
2  0.4103516 0.2776745 0.026132607    0.47   0.21      0.32
3  0.5195703 0.4579668 0.020910288    0.41   0.14      0.45
4  0.4081250 0.3304026 0.011222916    0.51   0.13      0.36
5  0.6538281 0.4862222 0.044027694    0.24   0.24      0.52
6  0.5013672 0.4549127 0.010355469    0.43   0.12      0.45
7  0.6366016 0.4551106 0.044086586    0.31   0.17      0.52
8  0.5144922 0.4790413 0.025997247    0.40   0.18      0.42
9  0.5042578 0.4995716 0.007729287    0.42   0.11      0.47
10 0.5649609 0.4287686 0.018168051    0.37   0.12      0.51
