   prop.aneu prob.meio   prob.mito euploid mosaic aneuploid
1  0.5989844 0.3941939 0.053094772    0.27   0.26      0.47
2  0.4296094 0.3491712 0.033760010    0.47   0.24      0.29
3  0.4876953 0.2619235 0.053657579    0.38   0.31      0.31
4  0.5725391 0.4690887 0.019210626    0.37   0.12      0.51
5  0.4363672 0.2519264 0.035685749    0.45   0.24      0.31
6  0.4419531 0.3687077 0.012166191    0.51   0.12      0.37
7  0.4834766 0.2336551 0.027979271    0.41   0.19      0.40
8  0.4045703 0.1920499 0.024852870    0.50   0.20      0.30
9  0.4297266 0.3521868 0.017587131    0.49   0.13      0.38
10 0.5692578 0.5871267 0.009668762    0.35   0.11      0.54
