   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.3740234 0.2962246 0.01364198    0.53   0.15      0.32
2  0.4759375 0.2659197 0.03319840    0.45   0.17      0.38
3  0.4694141 0.3613117 0.02752930    0.43   0.21      0.36
4  0.5565625 0.4064118 0.03885803    0.31   0.22      0.47
5  0.4921484 0.5252773 0.01985151    0.38   0.19      0.43
6  0.5128516 0.4613709 0.02646464    0.42   0.14      0.44
7  0.3953516 0.3369344 0.01253161    0.55   0.10      0.35
8  0.4087109 0.3209645 0.01801693    0.51   0.15      0.34
9  0.5751172 0.4875810 0.03779815    0.35   0.21      0.44
10 0.6180078 0.4801277 0.04006792    0.29   0.18      0.53
