   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.4602344 0.3649881 0.02009136    0.47   0.12      0.41
2  0.4799219 0.2658429 0.03374424    0.47   0.20      0.33
3  0.5114844 0.3778626 0.03997725    0.38   0.24      0.38
4  0.6481641 0.4984940 0.06803455    0.27   0.22      0.51
5  0.5846094 0.4345981 0.04165545    0.32   0.19      0.49
6  0.6211328 0.4166398 0.03906866    0.31   0.18      0.51
7  0.4343750 0.3904290 0.00875814    0.49   0.10      0.41
8  0.4242578 0.4050304 0.02335820    0.46   0.20      0.34
9  0.5357031 0.5713234 0.02234059    0.39   0.14      0.47
10 0.5525391 0.4004641 0.02208394    0.36   0.17      0.47
