   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.6425781 0.5775095 0.03741075    0.26   0.20      0.54
2  0.6277344 0.4344361 0.04368963    0.29   0.18      0.53
3  0.5408984 0.3093668 0.04994405    0.30   0.29      0.41
4  0.5997656 0.4661278 0.04605264    0.36   0.17      0.47
5  0.5399609 0.3486476 0.03586950    0.33   0.24      0.43
6  0.4153125 0.3016353 0.02261965    0.54   0.13      0.33
7  0.5852344 0.2666584 0.06237284    0.36   0.22      0.42
8  0.6014453 0.4434076 0.03350411    0.35   0.15      0.50
9  0.6419922 0.3186906 0.05956455    0.30   0.25      0.45
10 0.6187109 0.4404980 0.04131850    0.32   0.18      0.50
