   prop.aneu prob.meio  prob.mito dispersal euploid mosaic aneuploid
1  0.4275781 0.3366299 0.01033782         0    0.46   0.16      0.38
2  0.5804297 0.4008436 0.04767906         0    0.30   0.24      0.46
3  0.5091406 0.3316321 0.02660379         0    0.41   0.17      0.42
4  0.6217187 0.4571899 0.04500552         0    0.26   0.23      0.51
5  0.6444531 0.4906577 0.06586322         0    0.28   0.24      0.48
6  0.5800391 0.4699524 0.03011874         0    0.28   0.21      0.51
7  0.4524219 0.3466896 0.03102031         0    0.47   0.20      0.33
8  0.6133984 0.4320211 0.04651774         0    0.27   0.22      0.51
9  0.5236719 0.2876535 0.05661244         0    0.38   0.25      0.37
10 0.5828906 0.4639906 0.03158699         0    0.35   0.17      0.48
