   prop.aneu prob.meio  prob.mito dispersal euploid mosaic aneuploid
1  0.6071484 0.4496591 0.04380150         0    0.30   0.21      0.49
2  0.5107031 0.3644741 0.04261130         0    0.41   0.21      0.38
3  0.5570703 0.1952752 0.06645621         0    0.36   0.31      0.33
4  0.4896875 0.2745960 0.04099338         0    0.36   0.31      0.33
5  0.4723438 0.2267691 0.04228419         0    0.43   0.27      0.30
6  0.5881641 0.3071072 0.05954539         0    0.26   0.27      0.47
7  0.6108594 0.4139044 0.05350164         0    0.29   0.27      0.44
8  0.5573828 0.4658284 0.02047724         0    0.37   0.13      0.50
9  0.5357422 0.1944661 0.06144700         0    0.36   0.31      0.33
10 0.4971094 0.4350600 0.02593414         0    0.35   0.26      0.39
