   prop.aneu prob.meio   prob.mito   dispersal euploid mosaic aneuploid
1  0.6953125 0.5792498 0.017145747 0.093801274    0.26   0.10      0.64
2  0.3967578 0.3174097 0.019925387 0.590035512    0.40   0.30      0.30
3  0.6361719 0.4398566 0.035376365 0.490868014    0.18   0.33      0.49
4  0.5522656 0.3086396 0.045688930 0.007810093    0.32   0.26      0.42
5  0.5115234 0.4548780 0.016805356 0.998095043    0.21   0.38      0.41
6  0.4258203 0.3300105 0.014931803 0.177160659    0.49   0.15      0.36
7  0.6906250 0.4962227 0.052866115 0.050592470    0.20   0.24      0.56
8  0.5858984 0.4733944 0.031957831 0.496754342    0.19   0.34      0.47
9  0.6550781 0.6228494 0.006284779 0.355884024    0.29   0.07      0.64
10 0.5273438 0.3993515 0.018214376 0.012101667    0.41   0.15      0.44
