   prop.aneu prob.meio  prob.mito   dispersal euploid mosaic aneuploid
1  0.5251953 0.4116875 0.01746928 0.031190735    0.44   0.09      0.47
2  0.6351562 0.6214025 0.01692782 0.911713169    0.20   0.22      0.58
3  0.3951172 0.2897161 0.01304236 0.069405671    0.50   0.15      0.35
4  0.4302734 0.3805879 0.01461808 0.310679263    0.40   0.25      0.35
5  0.4995703 0.2836822 0.03252868 0.076851045    0.43   0.22      0.35
6  0.6039844 0.5815779 0.01565444 0.853832959    0.30   0.15      0.55
7  0.5993750 0.5949208 0.01019091 0.361376463    0.32   0.11      0.57
8  0.5861719 0.5093094 0.01380207 0.843172869    0.31   0.15      0.54
9  0.5236328 0.4069492 0.02374553 0.624520971    0.26   0.31      0.43
10 0.5267578 0.3639795 0.02273039 0.009119399    0.40   0.15      0.45
