   prop.aneu prob.meio   prob.mito   dispersal euploid mosaic aneuploid
1  0.7055469 0.5437143 0.037071437 0.534210628    0.12   0.28      0.60
2  0.4490625 0.5355289 0.008231749 0.596819377    0.42   0.17      0.41
3  0.6357812 0.4386808 0.053119458 0.006674167    0.23   0.27      0.50
4  0.5956250 0.5932980 0.004807888 0.758100129    0.37   0.05      0.58
5  0.6682422 0.5855002 0.025759669 0.744240386    0.16   0.25      0.59
6  0.4498437 0.5513002 0.011673500 0.552457188    0.39   0.22      0.39
7  0.6861719 0.6008036 0.030087716 0.115629578    0.24   0.15      0.61
8  0.6735937 0.5847421 0.033382078 0.157283989    0.20   0.22      0.58
9  0.6728125 0.5887109 0.032127827 0.222179048    0.18   0.24      0.58
10 0.4122266 0.3559398 0.001041892 0.091155932    0.59   0.00      0.41
