   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.5225781 0.3692094 0.02221111    0.38   0.18      0.44
2  0.5862500 0.4576098 0.05371405    0.35   0.23      0.42
3  0.4696484 0.3766300 0.02812589    0.42   0.21      0.37
4  0.4825391 0.4027733 0.01887501    0.45   0.15      0.40
5  0.5725391 0.3809313 0.04503486    0.32   0.26      0.42
6  0.4665234 0.3327033 0.01929001    0.46   0.14      0.40
7  0.5514844 0.4261443 0.05594504    0.38   0.23      0.39
8  0.5079687 0.3598568 0.03468971    0.42   0.19      0.39
9  0.5648828 0.3991033 0.05037804    0.32   0.25      0.43
10 0.6028125 0.4263781 0.04413410    0.30   0.25      0.45
