   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.4212891 0.2989556 0.02164535    0.53   0.14      0.33
2  0.4044922 0.3894851 0.01082077    0.56   0.08      0.36
3  0.5781641 0.4812620 0.03440133    0.35   0.18      0.47
4  0.5314062 0.5210166 0.02289019    0.36   0.18      0.46
5  0.6796875 0.3747045 0.06425303    0.21   0.25      0.54
6  0.5423828 0.4400657 0.04485404    0.35   0.19      0.46
7  0.5000000 0.3640955 0.02620999    0.44   0.18      0.38
8  0.6369531 0.4853868 0.03685670    0.27   0.19      0.54
9  0.5726562 0.4930628 0.03318996    0.32   0.19      0.49
10 0.5478125 0.3609944 0.03891748    0.36   0.22      0.42
