   prop.aneu  prob.meio  prob.mito euploid mosaic aneuploid
1  0.5833203 0.29569130 0.07267621    0.29   0.29      0.42
2  0.8043359 0.12384064 0.17202486    0.07   0.47      0.46
3  0.5794922 0.14792099 0.06559606    0.27   0.34      0.39
4  0.5116406 0.36812884 0.02585715    0.44   0.18      0.38
5  0.7426563 0.35766308 0.12472889    0.11   0.44      0.45
6  0.7330469 0.30833391 0.11822456    0.16   0.39      0.45
7  0.7268750 0.11494581 0.13397045    0.09   0.52      0.39
8  0.4893750 0.38352719 0.02559276    0.42   0.17      0.41
9  0.6737109 0.22041064 0.09452171    0.20   0.39      0.41
10 0.7113672 0.04749719 0.13885388    0.10   0.50      0.40
