   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.5644531 0.3690104 0.03091438    0.34   0.19      0.47
2  0.3957031 0.4184861 0.01169120    0.53   0.11      0.36
3  0.4021484 0.3532055 0.01251052    0.53   0.13      0.34
4  0.5016016 0.2767915 0.02854480    0.42   0.21      0.37
5  0.5825391 0.3629766 0.06408868    0.32   0.28      0.40
6  0.4650781 0.2991496 0.03148804    0.40   0.22      0.38
7  0.5371094 0.4075356 0.03945616    0.36   0.24      0.40
8  0.5082031 0.3491414 0.03498234    0.38   0.21      0.41
9  0.6290234 0.4160334 0.04162457    0.27   0.20      0.53
10 0.5323828 0.3993200 0.03432091    0.41   0.16      0.43
