   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.4869531 0.2653433 0.03924249    0.39   0.26      0.35
2  0.6345312 0.3996143 0.06323288    0.26   0.30      0.44
3  0.3793750 0.1916960 0.02374510    0.48   0.21      0.31
4  0.6500000 0.4419445 0.07003098    0.23   0.28      0.49
5  0.5241016 0.3668449 0.03784891    0.34   0.25      0.41
6  0.4433594 0.2472152 0.02118066    0.43   0.21      0.36
7  0.4970703 0.3328349 0.03301677    0.46   0.15      0.39
8  0.5735938 0.4421094 0.02709149    0.35   0.13      0.52
9  0.4949609 0.3460115 0.03829902    0.38   0.24      0.38
10 0.5115625 0.3871927 0.03222635    0.39   0.22      0.39
