   prop.aneu prob.meio   prob.mito euploid mosaic aneuploid
1  0.5578516 0.4590508 0.020895050    0.37   0.16      0.47
2  0.5673438 0.3987303 0.034195876    0.33   0.19      0.48
3  0.5435937 0.4199341 0.024159319    0.29   0.24      0.47
4  0.5240234 0.4329221 0.009777234    0.44   0.08      0.48
5  0.5824219 0.4512045 0.021040491    0.39   0.11      0.50
6  0.4982031 0.4163197 0.025889206    0.40   0.20      0.40
7  0.6478516 0.4985249 0.053190009    0.28   0.22      0.50
8  0.5097266 0.4765320 0.022688575    0.41   0.18      0.41
9  0.5945312 0.4373040 0.045529184    0.30   0.24      0.46
10 0.5320312 0.3765510 0.035634635    0.38   0.23      0.39
