   prop.aneu prob.meio   prob.mito euploid mosaic aneuploid
1  0.4206250 0.3799601 0.015030715    0.53   0.11      0.36
2  0.5872266 0.3270138 0.051061684    0.29   0.29      0.42
3  0.5935547 0.4200337 0.054415314    0.31   0.24      0.45
4  0.5781250 0.5175574 0.025881812    0.32   0.19      0.49
5  0.5287500 0.3121503 0.043392964    0.38   0.22      0.40
6  0.4717969 0.5064732 0.019579303    0.44   0.14      0.42
7  0.5201953 0.4284921 0.020560025    0.41   0.14      0.45
8  0.4122656 0.4161891 0.008422568    0.51   0.10      0.39
9  0.5792969 0.4115326 0.047932015    0.29   0.25      0.46
10 0.5417969 0.4579546 0.020426374    0.43   0.13      0.44
