   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.5892969 0.3945704 0.04735560    0.29   0.29      0.42
2  0.4745703 0.2998533 0.03029606    0.46   0.19      0.35
3  0.6010937 0.3325278 0.06435325    0.30   0.26      0.44
4  0.5248438 0.4160259 0.02752950    0.31   0.25      0.44
5  0.4445312 0.3245284 0.01383479    0.50   0.13      0.37
6  0.6239062 0.4440635 0.05581709    0.29   0.22      0.49
7  0.5005859 0.2881592 0.02017335    0.47   0.10      0.43
8  0.6094922 0.3497445 0.05107044    0.27   0.28      0.45
9  0.6031641 0.5186137 0.03367414    0.31   0.17      0.52
10 0.6168750 0.3960823 0.04172014    0.26   0.27      0.47
