   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.4725391 0.3075920 0.03656766    0.35   0.30      0.35
2  0.5477734 0.4153044 0.02097410    0.37   0.16      0.47
3  0.4815234 0.3764891 0.01406937    0.46   0.12      0.42
4  0.5225781 0.4869203 0.01168673    0.45   0.08      0.47
5  0.5872266 0.4084988 0.04085588    0.29   0.25      0.46
6  0.6211328 0.4519410 0.03417083    0.30   0.21      0.49
7  0.4396094 0.3028853 0.03122977    0.45   0.24      0.31
8  0.5547266 0.4434695 0.01692289    0.40   0.11      0.49
9  0.6042578 0.4707272 0.02694959    0.35   0.11      0.54
10 0.4266016 0.3023275 0.02254768    0.47   0.21      0.32
