   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.5401563 0.3813450 0.03945339    0.37   0.20      0.43
2  0.6109375 0.4590124 0.06394797    0.33   0.23      0.44
3  0.5506250 0.4242761 0.02041225    0.39   0.13      0.48
4  0.5920703 0.3084406 0.05657107    0.32   0.24      0.44
5  0.4773047 0.4024839 0.03046456    0.45   0.19      0.36
6  0.5459375 0.4389779 0.04619143    0.30   0.28      0.42
7  0.5154297 0.3023255 0.04459234    0.38   0.26      0.36
8  0.5026953 0.4673136 0.01502828    0.45   0.10      0.45
9  0.4728516 0.5189325 0.00620170    0.47   0.09      0.44
10 0.6127344 0.4666196 0.03517611    0.30   0.19      0.51
