   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.6101172 0.4302860 0.04424627    0.29   0.22      0.49
2  0.5677734 0.5031716 0.02047709    0.37   0.11      0.52
3  0.5583203 0.4693340 0.01938051    0.41   0.09      0.50
4  0.4803516 0.3885178 0.03509436    0.37   0.28      0.35
5  0.5296484 0.4258512 0.03338801    0.30   0.27      0.43
6  0.5494922 0.3204814 0.03400249    0.34   0.23      0.43
7  0.3833594 0.3051876 0.01118648    0.49   0.18      0.33
8  0.6267187 0.3925140 0.06911814    0.33   0.23      0.44
9  0.4151563 0.2415000 0.02672609    0.47   0.18      0.35
10 0.5969141 0.5558388 0.03304009    0.38   0.13      0.49
