   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.4329297 0.2757636 0.02512375    0.44   0.20      0.36
2  0.4414453 0.2642103 0.02329022    0.45   0.18      0.37
3  0.5796484 0.4046973 0.02446360    0.34   0.15      0.51
4  0.5840625 0.4230953 0.03910492    0.31   0.23      0.46
5  0.5050781 0.2228406 0.04918281    0.39   0.27      0.34
6  0.5505469 0.3363583 0.01895493    0.36   0.15      0.49
7  0.5339453 0.4116610 0.01679198    0.39   0.15      0.46
8  0.5727734 0.3637699 0.06381617    0.31   0.27      0.42
9  0.5218750 0.3899565 0.02003599    0.44   0.11      0.45
10 0.5409766 0.4787094 0.02743694    0.30   0.23      0.47
