   prop.aneu prob.meio   prob.mito euploid mosaic aneuploid
1  0.4260547 0.3864739 0.003391457    0.54   0.05      0.41
2  0.5336328 0.4688281 0.024078660    0.42   0.14      0.44
3  0.3762500 0.2815337 0.018592167    0.55   0.16      0.29
4  0.5401563 0.4315172 0.015014211    0.39   0.12      0.49
5  0.6730078 0.3105463 0.084538337    0.21   0.32      0.47
6  0.4254688 0.4294799 0.012566182    0.53   0.07      0.40
7  0.4291016 0.2973680 0.029169250    0.38   0.28      0.34
8  0.5019141 0.4766684 0.014269409    0.38   0.17      0.45
9  0.6556641 0.4276377 0.049081609    0.26   0.19      0.55
10 0.6484375 0.3130216 0.076683507    0.26   0.25      0.49
