   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.5353125 0.4052028 0.02131813    0.39   0.16      0.45
2  0.4700391 0.3100471 0.03137533    0.45   0.22      0.33
3  0.5795703 0.4079553 0.03566567    0.34   0.21      0.45
4  0.5580078 0.4094906 0.03996680    0.32   0.25      0.43
5  0.4053906 0.3711600 0.01897628    0.49   0.15      0.36
6  0.5901172 0.4290596 0.03203647    0.36   0.17      0.47
7  0.5604297 0.3729849 0.03137523    0.37   0.18      0.45
8  0.4755469 0.2685676 0.04334529    0.47   0.21      0.32
9  0.6086328 0.3400526 0.05901735    0.30   0.22      0.48
10 0.5061719 0.4005796 0.01346841    0.40   0.15      0.45
