   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.5505469 0.4639344 0.04032014    0.39   0.19      0.42
2  0.6456250 0.4574067 0.04893268    0.29   0.23      0.48
3  0.5823047 0.4985200 0.03149539    0.30   0.20      0.50
4  0.5512500 0.4074436 0.03252590    0.35   0.19      0.46
5  0.6026563 0.5193804 0.03449413    0.29   0.23      0.48
6  0.5366406 0.3490181 0.04427960    0.39   0.25      0.36
7  0.6083203 0.4349711 0.03295633    0.31   0.20      0.49
8  0.4133594 0.2153825 0.04089373    0.49   0.19      0.32
9  0.6355469 0.4434272 0.05697920    0.26   0.26      0.48
10 0.4264844 0.3057242 0.02358346    0.51   0.15      0.34
