   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.5577344 0.4311354 0.03788532    0.35   0.19      0.46
2  0.5662500 0.4001861 0.04568679    0.29   0.28      0.43
3  0.4895703 0.3680250 0.03058884    0.44   0.17      0.39
4  0.5189844 0.3024680 0.03840407    0.38   0.21      0.41
5  0.4661719 0.4289277 0.01662429    0.51   0.09      0.40
6  0.5700000 0.4712062 0.01736662    0.37   0.13      0.50
7  0.4632812 0.3088831 0.01867301    0.49   0.13      0.38
8  0.6868359 0.4583218 0.07233349    0.23   0.29      0.48
9  0.4924609 0.3853920 0.02626281    0.43   0.16      0.41
10 0.5055078 0.3133165 0.04259206    0.40   0.24      0.36
