   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.5998438 0.4761975 0.03847500    0.29   0.23      0.48
2  0.6410156 0.5944891 0.03444259    0.25   0.20      0.55
3  0.4887109 0.4923024 0.01122530    0.43   0.13      0.44
4  0.6468359 0.5371800 0.04427453    0.30   0.20      0.50
5  0.5352344 0.4305899 0.03534370    0.34   0.22      0.44
6  0.4888672 0.3222479 0.03639438    0.46   0.18      0.36
7  0.6197656 0.4159257 0.05051278    0.28   0.20      0.52
8  0.6891406 0.4944847 0.07320397    0.24   0.25      0.51
9  0.6220703 0.3864482 0.06284036    0.29   0.30      0.41
10 0.6865625 0.3745025 0.09218411    0.22   0.28      0.50
