   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.5835156 0.4548693 0.01927082    0.38   0.09      0.53
2  0.4197266 0.2234442 0.03562367    0.42   0.27      0.31
3  0.5642969 0.4571106 0.04140966    0.36   0.23      0.41
4  0.5025781 0.4046619 0.02059675    0.37   0.20      0.43
5  0.4399219 0.3341864 0.01841870    0.44   0.19      0.37
6  0.5346094 0.3336109 0.04026160    0.38   0.18      0.44
7  0.6121875 0.3761456 0.07575833    0.32   0.28      0.40
8  0.5094531 0.5562379 0.01230036    0.44   0.10      0.46
9  0.6394922 0.5465479 0.03333906    0.36   0.11      0.53
10 0.5033594 0.2849039 0.03954190    0.31   0.27      0.42
