"","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid","weights"
"1",0.590557955021825,0.0145884735348206,1,0.232,0.187,0.581,0.00197683523443072
"2",0.597075347211329,0.0152324590241728,1,0.232,0.187,0.581,0.00197683523443072
"3",0.576320042409517,0.0152320621927081,1,0.232,0.187,0.581,0.00197683523443072
"4",0.588943523667414,0.0149683784681246,1,0.232,0.187,0.581,0.00197683523443072
"5",0.578097776908802,0.0134977143320961,1,0.232,0.187,0.581,0.00197683523443072
"6",0.56582868247533,0.0155351063637585,1,0.232,0.187,0.581,0.00197683523443072
"7",0.58967648617394,0.0142090790757535,1,0.232,0.186,0.582,0.00197683523443072
"8",0.608807965049773,0.0142571036682447,1,0.232,0.188,0.58,0.00197683523443072
"9",0.60163801493804,0.0156872516892959,1,0.232,0.188,0.58,0.00197683523443072
"10",0.58432238635839,0.0164087578001045,1,0.232,0.186,0.582,0.00197683523443072
"11",0.572889096647819,0.0152249214113189,1,0.232,0.188,0.58,0.00197683523443072
"12",0.58998108279332,0.0156358076789814,1,0.232,0.186,0.582,0.00197683523443072
"13",0.572641193677541,0.0168050261347077,1,0.232,0.188,0.58,0.00197683523443072
"14",0.565569782452804,0.0158900352005933,1,0.232,0.188,0.58,0.00197683523443072
"15",0.597504991758205,0.0147373784083849,1,0.232,0.186,0.582,0.00197683523443072
"16",0.595618010577048,0.0157121101868811,1,0.232,0.186,0.582,0.00197683523443072
"17",0.573271808998101,0.0149046641544546,1,0.232,0.186,0.582,0.00197683523443072
"18",0.567326890756501,0.0145978799054667,1,0.232,0.186,0.582,0.00197683523443072
"19",0.577526043548695,0.0147648805930485,1,0.232,0.186,0.582,0.00197683523443072
"20",0.586208347837471,0.0156680290152209,1,0.232,0.189,0.579,0.00197683523443072
"21",0.556496762311586,0.0150888719186408,1,0.232,0.185,0.583,0.00197683523443072
"22",0.573851394901546,0.0159707623301806,1,0.232,0.189,0.579,0.00197683523443072
"23",0.584286762089613,0.0155614689931036,1,0.232,0.189,0.579,0.00197683523443072
"24",0.572704647615706,0.0146510249444501,1,0.232,0.185,0.583,0.00197683523443072
"25",0.596777987327223,0.0133699744893495,1,0.232,0.185,0.583,0.00197683523443072
"26",0.571947986189898,0.0148614149664181,1,0.232,0.185,0.583,0.00197683523443072
"27",0.586970584314874,0.0158009828131735,1,0.232,0.189,0.579,0.00197683523443072
"28",0.575533379596269,0.0159296510962968,1,0.232,0.185,0.583,0.00197683523443072
"29",0.583242931888917,0.0154039377260297,1,0.232,0.185,0.583,0.00197683523443072
"30",0.583807911777646,0.0152123361281622,1,0.232,0.185,0.583,0.00197683523443072
"31",0.60297711581761,0.01538053796108,1,0.231,0.187,0.582,0.00197683523443072
"32",0.578553424516011,0.0157700758046588,1,0.231,0.187,0.582,0.00197683523443072
