   prop.aneu prob.meio   prob.mito  dispersal euploid mosaic aneuploid
1  0.5103516 0.5730940 0.004410759 0.56041246    0.42   0.10      0.48
2  0.5836719 0.4493487 0.035882018 0.07546917    0.28   0.27      0.45
3  0.6324609 0.4283176 0.045294916 0.41810462    0.17   0.34      0.49
4  0.4612500 0.4764516 0.003591031 0.54726363    0.47   0.09      0.44
5  0.4872266 0.4929728 0.011494543 0.80300290    0.40   0.16      0.44
6  0.3762500 0.2823772 0.025209265 0.04139119    0.46   0.26      0.28
7  0.4527734 0.4368159 0.019247927 0.92677210    0.31   0.32      0.37
8  0.5149219 0.4298798 0.005666059 0.56447982    0.41   0.11      0.48
9  0.6268750 0.5734261 0.025510778 0.53066428    0.21   0.26      0.53
10 0.6814844 0.5571412 0.032034901 0.28643637    0.19   0.22      0.59
