   prop.aneu prob.meio   prob.mito  dispersal euploid mosaic aneuploid
1  0.6363281 0.6138611 0.027014506 0.45795811    0.23   0.22      0.55
2  0.6058984 0.3731996 0.060476402 0.01508651    0.27   0.26      0.47
3  0.5744531 0.5392694 0.019576811 0.57798956    0.24   0.27      0.49
4  0.6129297 0.4594910 0.031659783 0.47658496    0.19   0.33      0.48
5  0.3003906 0.2119884 0.003637090 0.81368956    0.62   0.10      0.28
6  0.6005078 0.4071456 0.045579775 0.03700384    0.21   0.32      0.47
7  0.5625781 0.4327052 0.014171250 0.87689009    0.32   0.17      0.51
8  0.3160156 0.2810104 0.008948033 0.03326611    0.63   0.10      0.27
9  0.5669922 0.3807040 0.024242179 0.50646860    0.23   0.31      0.46
10 0.3396875 0.3126361 0.012445357 0.10851047    0.53   0.20      0.27
