"","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid","weights"
"1",0.367322683145295,0.0324179220203113,0,0.388,0.186,0.426,0.00201241301605582
"2",0.359003636037039,0.0342225291995262,0,0.388,0.186,0.426,0.00201241301605582
"3",0.392001864207164,0.0329411779984232,0,0.388,0.186,0.426,0.00201241301605582
"4",0.38048566713209,0.0335147482420305,0,0.388,0.186,0.426,0.00201241301605582
"5",0.397128668016119,0.0298133206387175,0,0.388,0.185,0.427,0.00201241301605582
"6",0.401255155194407,0.0308851117296299,0,0.388,0.187,0.425,0.00201241301605582
"7",0.375668154473657,0.03112877609104,0,0.388,0.185,0.427,0.00201241301605582
"8",0.390619331339929,0.0294599045642988,0,0.388,0.187,0.425,0.00201241301605582
"9",0.383771225454599,0.032585709845097,0,0.388,0.185,0.427,0.00201241301605582
"10",0.415019413826931,0.0291372714981298,0,0.388,0.185,0.427,0.00201241301605582
"11",0.396235999394406,0.0264185675670501,0,0.387,0.186,0.427,0.00201241301605582
"12",0.392339589734397,0.0270434679879912,0,0.387,0.186,0.427,0.00201241301605582
"13",0.389977801420108,0.0323369469257119,0,0.389,0.186,0.425,0.00201241301605582
"14",0.381991143486517,0.0293588661859767,0,0.389,0.186,0.425,0.00201241301605582
"15",0.403423524711824,0.0294337477361963,0,0.389,0.186,0.425,0.00201241301605582
"16",0.382644762031121,0.031893047989237,0,0.387,0.186,0.427,0.00201241301605582
"17",0.391086960658922,0.0300749559717555,0,0.387,0.186,0.427,0.00201241301605582
"18",0.368311289272215,0.0292573544221744,0,0.387,0.186,0.427,0.00201241301605582
"19",0.397070314318969,0.0297783319758583,0,0.387,0.187,0.426,0.00201241301605582
"20",0.365973983562634,0.0309011724973553,0,0.387,0.187,0.426,0.00201241301605582
"21",0.39556676011015,0.0283423801919691,0,0.387,0.187,0.426,0.00201241301605582
"22",0.380654201862381,0.0288634226036409,0,0.389,0.185,0.426,0.00201241301605582
"23",0.400673194986351,0.030932843736059,0,0.389,0.185,0.426,0.00201241301605582
"24",0.39263541221938,0.0306007395191569,0,0.387,0.187,0.426,0.00201241301605582
"25",0.374766421817,0.0297870698497381,0,0.387,0.187,0.426,0.00201241301605582
"26",0.372964426011638,0.0287319054044445,0,0.387,0.187,0.426,0.00201241301605582
"27",0.38431021624738,0.0316551967586441,0,0.387,0.187,0.426,0.00201241301605582
"28",0.40544735705292,0.0301483785143026,0,0.389,0.185,0.426,0.00201241301605582
"29",0.407542906112892,0.0309057503644876,0,0.389,0.185,0.426,0.00201241301605582
"30",0.3879691729871,0.0310830643593922,0,0.389,0.185,0.426,0.00201241301605582
"31",0.38009610083157,0.0326622551925366,0,0.389,0.187,0.424,0.00201241301605582
"32",0.373786023604836,0.0280647509100701,0,0.389,0.187,0.424,0.00201241301605582
"33",0.382180437387543,0.0325377854076519,0,0.389,0.187,0.424,0.00201241301605582
"34",0.38545046120045,0.0242267610695366,0,0.387,0.185,0.428,0.00201241301605582
"35",0.390949979067649,0.0297668422763356,0,0.387,0.185,0.428,0.00201241301605582
"36",0.374985644947053,0.0305186472967127,0,0.389,0.187,0.424,0.00201241301605582
"37",0.402257347596723,0.028273941201094,0,0.389,0.187,0.424,0.00201241301605582
"38",0.383105452031643,0.026816022648416,0,0.387,0.185,0.428,0.00201241301605582
"39",0.377722175827756,0.0300603798916415,0,0.387,0.185,0.428,0.00201241301605582
"40",0.388186608248246,0.0278448655298668,0,0.389,0.187,0.424,0.00201241301605582
"41",0.407587561162139,0.0293233738318719,0,0.388,0.188,0.424,0.00201241301605582
"42",0.405018447014409,0.0246673709216571,0,0.388,0.184,0.428,0.00201241301605582
"43",0.404450520964549,0.0264216691572889,0,0.388,0.184,0.428,0.00201241301605582
"44",0.391940472984646,0.0287788822017536,0,0.388,0.188,0.424,0.00201241301605582
"45",0.384999566124662,0.0331361011116967,0,0.388,0.184,0.428,0.00201241301605582
"46",0.391210876407499,0.0278308763909138,0,0.388,0.184,0.428,0.00201241301605582
"47",0.41123628268284,0.0257259984115654,0,0.388,0.188,0.424,0.00201241301605582
"48",0.405139463881909,0.0295625926614423,0,0.388,0.184,0.428,0.00201241301605582
"49",0.385485116699932,0.0305515442904341,0,0.388,0.184,0.428,0.00201241301605582
"50",0.387334217526302,0.0271343039898507,0,0.388,0.184,0.428,0.00201241301605582
"51",0.398330276156496,0.0302324998855291,0,0.388,0.184,0.428,0.00201241301605582
"52",0.389670693895339,0.0287405642555375,0,0.389,0.184,0.427,0.00201241301605582
"53",0.402220214401812,0.0323561434276117,0,0.389,0.184,0.427,0.00201241301605582
"54",0.404192160948433,0.0281007960923865,0,0.389,0.184,0.427,0.00201241301605582
"55",0.391167022420432,0.0342179927010636,0,0.389,0.184,0.427,0.00201241301605582
"56",0.378801721038847,0.0306198991188984,0,0.389,0.184,0.427,0.00201241301605582
"57",0.391633324504929,0.0297293879091646,0,0.387,0.188,0.425,0.00201241301605582
"58",0.396050625875374,0.0322520071389949,0,0.389,0.184,0.427,0.00201241301605582
"59",0.398671419688138,0.0278680982457408,0,0.389,0.184,0.427,0.00201241301605582
"60",0.40042047894447,0.0309243803292241,0,0.389,0.184,0.427,0.00201241301605582
"61",0.376377938089383,0.0319286644352556,0,0.389,0.184,0.427,0.00201241301605582
"62",0.371391516617579,0.0342489294523798,0,0.386,0.187,0.427,0.00201241301605582
"63",0.41287802243846,0.0291214548139724,0,0.386,0.187,0.427,0.00201241301605582
"64",0.404196724999101,0.0292900129817664,0,0.386,0.187,0.427,0.00201241301605582
"65",0.393615217538318,0.0304759448999521,0,0.39,0.185,0.425,0.00201241301605582
"66",0.371555345782652,0.0285971730519311,0,0.386,0.187,0.427,0.00201241301605582
"67",0.372588362656273,0.0315493931914095,0,0.386,0.187,0.427,0.00201241301605582
"68",0.387008692653035,0.0325086215436427,0,0.39,0.185,0.425,0.00201241301605582
"69",0.364366683450774,0.0311007243497859,0,0.39,0.185,0.425,0.00201241301605582
"70",0.354772362841727,0.0318027889392394,0,0.39,0.185,0.425,0.00201241301605582
"71",0.370613910345899,0.0327698585212661,0,0.386,0.187,0.427,0.00201241301605582
"72",0.392592729409755,0.0308895850509046,0,0.39,0.185,0.425,0.00201241301605582
"73",0.379780484392575,0.0273307161302853,0,0.39,0.185,0.425,0.00201241301605582
"74",0.407816343438761,0.0279101880165082,0,0.39,0.185,0.425,0.00201241301605582
"75",0.372253257841255,0.0297938143510302,0,0.39,0.185,0.425,0.00201241301605582
"76",0.409310539058314,0.0338126445907077,0,0.386,0.186,0.428,0.00201241301605582
"77",0.391260608877558,0.0266855656292757,0,0.386,0.186,0.428,0.00201241301605582
"78",0.376864264081426,0.0289760432427845,0,0.39,0.186,0.424,0.00201241301605582
"79",0.415029125065817,0.0297310863121206,0,0.39,0.186,0.424,0.00201241301605582
"80",0.381135045944051,0.0269811185478974,0,0.39,0.186,0.424,0.00201241301605582
"81",0.39895172624455,0.0314683670694003,0,0.39,0.186,0.424,0.00201241301605582
"82",0.40144147195937,0.0310143091363974,0,0.386,0.186,0.428,0.00201241301605582
"83",0.403948767155614,0.030296997853303,0,0.39,0.186,0.424,0.00201241301605582
"84",0.387476356300393,0.0301992210262108,0,0.39,0.186,0.424,0.00201241301605582
"85",0.389853030563025,0.0298351053540661,0,0.39,0.186,0.424,0.00201241301605582
"86",0.387824410761615,0.0323901155565335,0,0.39,0.186,0.424,0.00201241301605582
"87",0.39870438552118,0.0300178346901591,0,0.389,0.188,0.423,0.00201241301605582
"88",0.396498841629865,0.0328820455200746,0,0.387,0.184,0.429,0.00201241301605582
"89",0.38047500130154,0.0305157696946385,0,0.387,0.184,0.429,0.00201241301605582
"90",0.399585688295071,0.0328649736220389,0,0.387,0.184,0.429,0.00201241301605582
"91",0.398872154553242,0.032244787159155,0,0.389,0.188,0.423,0.00201241301605582
"92",0.375712433377225,0.0301053506592919,0,0.389,0.188,0.423,0.00201241301605582
"93",0.388474078264342,0.0267854001198065,0,0.387,0.184,0.429,0.00201241301605582
"94",0.417091598691348,0.030762499835716,0,0.389,0.188,0.423,0.00201241301605582
"95",0.393872850366275,0.0315047094958738,0,0.387,0.184,0.429,0.00201241301605582
"96",0.404934102406831,0.0274893868632792,0,0.387,0.184,0.429,0.00201241301605582
"97",0.381844775874345,0.0294740310002591,0,0.387,0.184,0.429,0.00201241301605582
"98",0.40776352061629,0.0283507484590026,0,0.387,0.184,0.429,0.00201241301605582
"99",0.372556635840315,0.0281404141953576,0,0.386,0.188,0.426,0.00201241301605582
"100",0.416666943351726,0.0236814738170826,0,0.39,0.184,0.426,0.00201241301605582
"101",0.392140408910293,0.0310481238800188,0,0.386,0.188,0.426,0.00201241301605582
"102",0.385671142430397,0.0304124067563107,0,0.386,0.188,0.426,0.00201241301605582
"103",0.372348465078812,0.0308524925916941,0,0.39,0.184,0.426,0.00201241301605582
"104",0.371008617376597,0.0303532634299361,0,0.39,0.184,0.426,0.00201241301605582
"105",0.399525411310801,0.0295313102080046,0,0.386,0.188,0.426,0.00201241301605582
"106",0.388019341553709,0.0275752599330331,0,0.39,0.184,0.426,0.00201241301605582
"107",0.394488037805273,0.0290706830663538,0,0.39,0.184,0.426,0.00201241301605582
"108",0.389980893776639,0.031780934529275,0,0.39,0.184,0.426,0.00201241301605582
"109",0.391330609642738,0.0326486307652412,0,0.39,0.187,0.423,0.00201241301605582
"110",0.3663911215322,0.0289661758628001,0,0.386,0.185,0.429,0.00201241301605582
"111",0.385221499954361,0.0290800723707796,0,0.39,0.187,0.423,0.00201241301605582
"112",0.394776615568592,0.0265459840335391,0,0.39,0.187,0.423,0.00201241301605582
"113",0.358398206239936,0.0294826781831931,0,0.386,0.185,0.429,0.00201241301605582
"114",0.384050814131025,0.0301232978278687,0,0.39,0.187,0.423,0.00201241301605582
"115",0.412141807036816,0.0272313621393479,0,0.39,0.187,0.423,0.00201241301605582
"116",0.379830246307126,0.0326014191320078,0,0.386,0.185,0.429,0.00201241301605582
"117",0.384621419401513,0.0296249852868863,0,0.386,0.185,0.429,0.00201241301605582
"118",0.401683773968602,0.0286156042775177,0,0.39,0.187,0.423,0.00201241301605582
"119",0.403323409803253,0.027653887265066,0,0.39,0.187,0.423,0.00201241301605582
"120",0.379696417458098,0.0300914346843527,0,0.386,0.185,0.429,0.00201241301605582
"121",0.39824331573465,0.0320299362785156,0,0.387,0.189,0.424,0.00201241301605582
"122",0.391529008463882,0.0302110330314205,0,0.389,0.183,0.428,0.00201241301605582
"123",0.362639734211812,0.0294695277246472,0,0.389,0.183,0.428,0.00201241301605582
"124",0.395568861256356,0.0272987179760811,0,0.389,0.183,0.428,0.00201241301605582
"125",0.378268853855128,0.0288791911608114,0,0.389,0.183,0.428,0.00201241301605582
"126",0.371414794855306,0.0334737685670691,0,0.387,0.189,0.424,0.00201241301605582
