X,prop.aneu,prob.meio,prob.mito,dispersal,euploid,mosaic,aneuploid,embryo,first_biopsy_cell,second_biopsy_cell,first_biopsy_type,second_biopsy_type,embryo_type
750001,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750002,0.2890625,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,2,0,Mosaic,Euploid,Mosaic Aneuploid
750003,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750004,0.07421875,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,0,0,Euploid,Euploid,Mosaic Aneuploid
750005,0.29296875,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,0,2,Euploid,Mosaic,Mosaic Aneuploid
750006,0.11328125,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,0,1,Euploid,Mosaic,Mosaic Aneuploid
750007,0.0625,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,0,0,Euploid,Euploid,Mosaic Aneuploid
750008,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750009,0.125,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,0,0,Euploid,Euploid,Mosaic Aneuploid
750010,0.13671875,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,0,0,Euploid,Euploid,Mosaic Aneuploid
750011,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750012,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750013,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750014,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750015,0.1171875,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,0,1,Euploid,Mosaic,Mosaic Aneuploid
750016,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750017,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750018,0.14453125,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,1,1,Mosaic,Mosaic,Mosaic Aneuploid
750019,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750020,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750021,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750022,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750023,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750024,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750025,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750026,0.09375,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,0,0,Euploid,Euploid,Mosaic Aneuploid
750027,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750028,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750029,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750030,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750031,0.0859375,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,0,0,Euploid,Euploid,Mosaic Aneuploid
750032,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750033,0.19140625,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,0,0,Euploid,Euploid,Mosaic Aneuploid
750034,0.12890625,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,1,1,Mosaic,Mosaic,Mosaic Aneuploid
750035,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750036,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750037,0.1953125,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,0,2,Euploid,Mosaic,Mosaic Aneuploid
750038,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750039,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750040,0.05859375,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,0,0,Euploid,Euploid,Mosaic Aneuploid
750041,0.109375,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,0,0,Euploid,Euploid,Mosaic Aneuploid
750042,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750043,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750044,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750045,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750046,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750047,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750048,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750049,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750050,0.03515625,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,0,0,Euploid,Euploid,Mosaic Aneuploid
750051,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750052,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750053,1,0.585540915832254,0.0209012795592026,0.5,0.229,0.191,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
