X,prop.aneu,prob.meio,prob.mito,dispersal,euploid,mosaic,aneuploid,embryo,first_biopsy_cell,second_biopsy_cell,first_biopsy_type,second_biopsy_type,embryo_type
400046,0.26171875,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,2,2,Mosaic,Mosaic,Mosaic Aneuploid
400047,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400048,0.07421875,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,0,Euploid,Euploid,Mosaic Aneuploid
400049,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400050,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400051,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400052,0.05078125,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,0,Euploid,Euploid,Mosaic Aneuploid
400053,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400054,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400055,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400056,0.2578125,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,3,0,Mosaic,Euploid,Mosaic Aneuploid
400057,0.3046875,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,2,2,Mosaic,Mosaic,Mosaic Aneuploid
400058,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400059,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
