X,prop.aneu,prob.meio,prob.mito,dispersal,euploid,mosaic,aneuploid,embryo,first_biopsy_cell,second_biopsy_cell,first_biopsy_type,second_biopsy_type,embryo_type
750001,0.265625,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,2,1,Mosaic,Mosaic,Mosaic Aneuploid
750002,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750003,0.03125,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,0,1,Euploid,Mosaic,Mosaic Aneuploid
750004,0.0546875,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,1,0,Mosaic,Euploid,Mosaic Aneuploid
750005,0.0390625,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,1,0,Mosaic,Euploid,Mosaic Aneuploid
750006,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750007,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750008,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750009,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750010,0.12890625,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,1,0,Mosaic,Euploid,Mosaic Aneuploid
750011,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750012,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750013,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750014,0.1796875,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,1,0,Mosaic,Euploid,Mosaic Aneuploid
750015,0.0625,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,0,0,Euploid,Euploid,Mosaic Aneuploid
750016,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750017,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750018,0.12109375,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,1,2,Mosaic,Mosaic,Mosaic Aneuploid
750019,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750020,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750021,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750022,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750023,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750024,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750025,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750026,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750027,0.15625,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,1,1,Mosaic,Mosaic,Mosaic Aneuploid
750028,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750029,0.56640625,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,3,1,Mosaic,Mosaic,Mosaic Aneuploid
750030,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750031,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750032,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750033,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750034,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750035,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750036,0.015625,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,1,0,Mosaic,Euploid,Mosaic Aneuploid
750037,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750038,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750039,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750040,0.03125,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,0,1,Euploid,Mosaic,Mosaic Aneuploid
750041,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750042,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750043,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750044,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750045,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750046,0.0390625,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,0,1,Euploid,Mosaic,Mosaic Aneuploid
750047,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750048,0.19140625,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,1,1,Mosaic,Mosaic,Mosaic Aneuploid
750049,0.27734375,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,2,1,Mosaic,Mosaic,Mosaic Aneuploid
750050,0.5625,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,2,4,Mosaic,Aneuploid,Mosaic Aneuploid
750051,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750052,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750053,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750054,0.02734375,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,0,1,Euploid,Mosaic,Mosaic Aneuploid
750055,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750056,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
750057,1,0.582268601203411,0.0146859981075136,1,0.241,0.174,0.585,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
