X,prop.aneu,prob.meio,prob.mito,dispersal,euploid,mosaic,aneuploid,embryo,first_biopsy_cell,second_biopsy_cell,first_biopsy_type,second_biopsy_type,embryo_type
850001,1,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
850002,1,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
850003,1,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
850004,1,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
850005,0.27734375,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,2,1,Mosaic,Mosaic,Mosaic Aneuploid
850006,0.08984375,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,1,0,Mosaic,Euploid,Mosaic Aneuploid
850007,1,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
850008,1,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
850009,0.1015625,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,1,1,Mosaic,Mosaic,Mosaic Aneuploid
850010,0.1328125,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,0,1,Euploid,Mosaic,Mosaic Aneuploid
850011,0.28515625,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,1,1,Mosaic,Mosaic,Mosaic Aneuploid
850012,0.0234375,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,0,0,Euploid,Euploid,Mosaic Aneuploid
850013,0.515625,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,1,3,Mosaic,Mosaic,Mosaic Aneuploid
850014,0.0390625,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,0,0,Euploid,Euploid,Mosaic Aneuploid
850015,1,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
850016,0.078125,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,0,0,Euploid,Euploid,Mosaic Aneuploid
850017,1,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
850018,1,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
850019,1,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
850020,1,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
850021,1,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
850022,1,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
850023,1,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
850024,0.04296875,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,0,0,Euploid,Euploid,Mosaic Aneuploid
850025,1,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
850026,0.171875,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,1,0,Mosaic,Euploid,Mosaic Aneuploid
850027,0.53515625,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,2,2,Mosaic,Mosaic,Mosaic Aneuploid
850028,0.078125,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,0,1,Euploid,Mosaic,Mosaic Aneuploid
850029,1,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
850030,1,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
850031,1,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
850032,1,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
850033,1,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
850034,0.1015625,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,1,2,Mosaic,Mosaic,Mosaic Aneuploid
850035,0.171875,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,1,1,Mosaic,Mosaic,Mosaic Aneuploid
850036,0.09765625,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,0,1,Euploid,Mosaic,Mosaic Aneuploid
850037,1,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
850038,1,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
850039,0.02734375,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,0,0,Euploid,Euploid,Mosaic Aneuploid
850040,1,0.589347434303922,0.0157261211908005,1,0.233,0.187,0.58,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
