X,prop.aneu,prob.meio,prob.mito,dispersal,euploid,mosaic,aneuploid,embryo,first_biopsy_cell,second_biopsy_cell,first_biopsy_type,second_biopsy_type,embryo_type
200001,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200002,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200003,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200004,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200005,0.10546875,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,0,0,Euploid,Euploid,Mosaic Aneuploid
200006,0.09375,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,3,0,Mosaic,Euploid,Mosaic Aneuploid
200007,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200008,0.1484375,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,0,2,Euploid,Mosaic,Mosaic Aneuploid
200009,0.04296875,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,0,1,Euploid,Mosaic,Mosaic Aneuploid
200010,0.14453125,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,0,0,Euploid,Euploid,Mosaic Aneuploid
200011,0.05078125,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,0,0,Euploid,Euploid,Mosaic Aneuploid
200012,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200013,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200014,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200015,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200016,0.11328125,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,0,1,Euploid,Mosaic,Mosaic Aneuploid
200017,0.12890625,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,0,1,Euploid,Mosaic,Mosaic Aneuploid
200018,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200019,0.09765625,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,0,3,Euploid,Mosaic,Mosaic Aneuploid
200020,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200021,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200022,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200023,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200024,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200025,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200026,0.078125,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,0,0,Euploid,Euploid,Mosaic Aneuploid
200027,0.30859375,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,0,2,Euploid,Mosaic,Mosaic Aneuploid
200028,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200029,0.109375,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,0,0,Euploid,Euploid,Mosaic Aneuploid
200030,0.078125,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,2,0,Mosaic,Euploid,Mosaic Aneuploid
200031,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200032,0.10546875,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,1,0,Mosaic,Euploid,Mosaic Aneuploid
200033,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200034,0.4453125,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,2,1,Mosaic,Mosaic,Mosaic Aneuploid
200035,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200036,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200037,0.13671875,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,2,0,Mosaic,Euploid,Mosaic Aneuploid
200038,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200039,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200040,0.09765625,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,0,0,Euploid,Euploid,Mosaic Aneuploid
200041,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200042,0.13671875,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,1,1,Mosaic,Mosaic,Mosaic Aneuploid
200043,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200044,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200045,0.1328125,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,0,1,Euploid,Mosaic,Mosaic Aneuploid
200046,0.0625,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,1,2,Mosaic,Mosaic,Mosaic Aneuploid
200047,0.1015625,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,2,0,Mosaic,Euploid,Mosaic Aneuploid
200048,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200049,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200050,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200051,0.09375,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,0,0,Euploid,Euploid,Mosaic Aneuploid
200052,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200053,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200054,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200055,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200056,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200057,0.1015625,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,0,1,Euploid,Mosaic,Mosaic Aneuploid
200058,0.296875,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,0,1,Euploid,Mosaic,Mosaic Aneuploid
200059,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200060,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200061,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200062,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200063,0.1484375,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,1,0,Mosaic,Euploid,Mosaic Aneuploid
200064,0.0859375,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,0,0,Euploid,Euploid,Mosaic Aneuploid
200065,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200066,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200067,0.14453125,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,0,0,Euploid,Euploid,Mosaic Aneuploid
200068,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200069,0.3515625,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,3,2,Mosaic,Mosaic,Mosaic Aneuploid
200070,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200071,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200072,0.0625,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,0,1,Euploid,Mosaic,Mosaic Aneuploid
200073,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200074,0.171875,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,3,2,Mosaic,Mosaic,Mosaic Aneuploid
200075,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200076,0.0859375,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,0,0,Euploid,Euploid,Mosaic Aneuploid
200077,0.26171875,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,0,1,Euploid,Mosaic,Mosaic Aneuploid
200078,0.05078125,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,0,0,Euploid,Euploid,Mosaic Aneuploid
200079,0.109375,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,0,0,Euploid,Euploid,Mosaic Aneuploid
200080,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
200081,1,0.565126499680525,0.0218868953467654,0.5,0.227,0.181,0.592,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
