X,prop.aneu,prob.meio,prob.mito,dispersal,euploid,mosaic,aneuploid,embryo,first_biopsy_cell,second_biopsy_cell,first_biopsy_type,second_biopsy_type,embryo_type
800001,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800002,0.03125,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,0,Euploid,Euploid,Mosaic Aneuploid
800003,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800004,0.11328125,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,1,1,Mosaic,Mosaic,Mosaic Aneuploid
800005,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800006,0.26953125,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,2,2,Mosaic,Mosaic,Mosaic Aneuploid
800007,0.0546875,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,0,Euploid,Euploid,Mosaic Aneuploid
800008,0.0625,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,0,Euploid,Euploid,Mosaic Aneuploid
800009,0.0625,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,1,Euploid,Mosaic,Mosaic Aneuploid
800010,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800011,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800012,0.05078125,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,1,Euploid,Mosaic,Mosaic Aneuploid
800013,0.046875,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,1,Euploid,Mosaic,Mosaic Aneuploid
800014,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800015,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800016,0.05078125,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,1,Euploid,Mosaic,Mosaic Aneuploid
800017,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800018,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800019,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800020,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800021,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800022,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800023,0.078125,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,1,1,Mosaic,Mosaic,Mosaic Aneuploid
800024,0.0390625,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,0,Euploid,Euploid,Mosaic Aneuploid
800025,0.046875,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,1,0,Mosaic,Euploid,Mosaic Aneuploid
800026,0.03125,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,1,0,Mosaic,Euploid,Mosaic Aneuploid
800027,0.05859375,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,0,Euploid,Euploid,Mosaic Aneuploid
800028,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800029,0.06640625,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,0,Euploid,Euploid,Mosaic Aneuploid
800030,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800031,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800032,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800033,0.08984375,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,1,0,Mosaic,Euploid,Mosaic Aneuploid
800034,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800035,0.0390625,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,0,Euploid,Euploid,Mosaic Aneuploid
800036,0.02734375,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,1,Euploid,Mosaic,Mosaic Aneuploid
800037,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800038,0.03515625,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,0,Euploid,Euploid,Mosaic Aneuploid
800039,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800040,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800041,0.01171875,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,0,Euploid,Euploid,Mosaic Aneuploid
800042,0.03515625,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,0,Euploid,Euploid,Mosaic Aneuploid
800043,0.2578125,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,3,1,Mosaic,Mosaic,Mosaic Aneuploid
800044,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800045,0.08203125,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,0,Euploid,Euploid,Mosaic Aneuploid
800046,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800047,0.54296875,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,4,3,Aneuploid,Mosaic,Mosaic Aneuploid
800048,0.1875,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,1,0,Mosaic,Euploid,Mosaic Aneuploid
800049,0.04296875,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,0,Euploid,Euploid,Mosaic Aneuploid
800050,0.171875,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,1,Euploid,Mosaic,Mosaic Aneuploid
800051,0.03125,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,1,Euploid,Mosaic,Mosaic Aneuploid
800052,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800053,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800054,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800055,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800056,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800057,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800058,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800059,0.12109375,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,2,Euploid,Mosaic,Mosaic Aneuploid
800060,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800061,0.0234375,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,0,Euploid,Euploid,Mosaic Aneuploid
800062,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800063,0.1484375,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,1,2,Mosaic,Mosaic,Mosaic Aneuploid
800064,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800065,0.09765625,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,1,0,Mosaic,Euploid,Mosaic Aneuploid
800066,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800067,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800068,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800069,0.0625,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,0,Euploid,Euploid,Mosaic Aneuploid
800070,0.0390625,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,0,Euploid,Euploid,Mosaic Aneuploid
800071,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800072,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800073,0.27734375,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,1,2,Mosaic,Mosaic,Mosaic Aneuploid
800074,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800075,0.15234375,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,1,Euploid,Mosaic,Mosaic Aneuploid
800076,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800077,0.15234375,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,1,1,Mosaic,Mosaic,Mosaic Aneuploid
800078,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800079,0.05078125,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,0,Euploid,Euploid,Mosaic Aneuploid
800080,0.15625,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,0,Euploid,Euploid,Mosaic Aneuploid
800081,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800082,0.06640625,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,0,Euploid,Euploid,Mosaic Aneuploid
800083,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800084,0.0390625,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,0,Euploid,Euploid,Mosaic Aneuploid
800085,0.07421875,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,1,Euploid,Mosaic,Mosaic Aneuploid
800086,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800087,0.02734375,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,0,Euploid,Euploid,Mosaic Aneuploid
800088,0.046875,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,1,0,Mosaic,Euploid,Mosaic Aneuploid
800089,0.12890625,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,1,1,Mosaic,Mosaic,Mosaic Aneuploid
800090,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800091,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800092,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800093,0.03125,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,0,Euploid,Euploid,Mosaic Aneuploid
800094,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800095,0.0390625,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,1,Euploid,Mosaic,Mosaic Aneuploid
800096,0.06640625,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,0,Euploid,Euploid,Mosaic Aneuploid
800097,0.08984375,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,0,1,Euploid,Mosaic,Mosaic Aneuploid
800098,0.25390625,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,1,1,Mosaic,Mosaic,Mosaic Aneuploid
800099,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800100,0.0546875,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,1,1,Mosaic,Mosaic,Mosaic Aneuploid
800101,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800102,0.03125,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,1,1,Mosaic,Mosaic,Mosaic Aneuploid
800103,1,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
800104,0.29296875,0.536147280001911,0.0155380852910518,1,0.264,0.2,0.536,,1,1,Mosaic,Mosaic,Mosaic Aneuploid
